sample_id	id	Group	RNA_matrix	allcool_gen_matrix	filtered_barcode	CNV_matrix
RS10	RS10	G1	/home/lishengdi/workspace/project/maxingyong/matrix/rna/WLY_25_11/filtered_feature_bc_matrix	/home/lishengdi/workspace/project/maxingyong/matrix/methy/allcools_generate_datasets/WLY_25_11.mcds	/home/lishengdi/workspace/project/maxingyong/matrix/methy/filtered_barcode_reads_counts/WLY_25_11/WLY_25_11_filtered_barcode_reads_counts.csv	/home/lishengdi/workspace/project/maxingyong/matrix/methy/cnv_preflight/WLY_25_11
RS15	RS15	G1	/home/lishengdi/workspace/project/maxingyong/matrix/rna/ZSL_25_16/filtered_feature_bc_matrix	/home/lishengdi/workspace/project/maxingyong/matrix/methy/allcools_generate_datasets/ZSL_25_16.mcds	/home/lishengdi/workspace/project/maxingyong/matrix/methy/filtered_barcode_reads_counts/ZSL_25_16/ZSL_25_16_filtered_barcode_reads_counts.csv	/home/lishengdi/workspace/project/maxingyong/matrix/methy/cnv_preflight/ZSL_25_16
RS26	RS26	G1	/home/lishengdi/workspace/project/maxingyong/matrix/rna/TPQ_25_27/filtered_feature_bc_matrix	/home/lishengdi/workspace/project/maxingyong/matrix/methy/allcools_generate_datasets/TPQ_25_27.mcds	/home/lishengdi/workspace/project/maxingyong/matrix/methy/filtered_barcode_reads_counts/TPQ_25_27/TPQ_25_27_filtered_barcode_reads_counts.csv	/home/lishengdi/workspace/project/maxingyong/matrix/methy/cnv_preflight/TPQ_25_27
RS28	RS28	G1	/home/lishengdi/workspace/project/maxingyong/matrix/rna/ZXX_25_29/filtered_feature_bc_matrix	/home/lishengdi/workspace/project/maxingyong/matrix/methy/allcools_generate_datasets/ZXX_25_29.mcds	/home/lishengdi/workspace/project/maxingyong/matrix/methy/filtered_barcode_reads_counts/ZXX_25_29/ZXX_25_29_filtered_barcode_reads_counts.csv	/home/lishengdi/workspace/project/maxingyong/matrix/methy/cnv_preflight/ZXX_25_29
RS29	RS29	G1	/home/lishengdi/workspace/project/maxingyong/matrix/rna/CZM_25_30/filtered_feature_bc_matrix	/home/lishengdi/workspace/project/maxingyong/matrix/methy/allcools_generate_datasets/CZM_25_30.mcds	/home/lishengdi/workspace/project/maxingyong/matrix/methy/filtered_barcode_reads_counts/CZM_25_30/CZM_25_30_filtered_barcode_reads_counts.csv	/home/lishengdi/workspace/project/maxingyong/matrix/methy/cnv_preflight/CZM_25_30
RS34	RS34	G1	/home/lishengdi/workspace/project/maxingyong/matrix/rna/XDM_25_35/filtered_feature_bc_matrix	/home/lishengdi/workspace/project/maxingyong/matrix/methy/allcools_generate_datasets/XDM_25_35.mcds	/home/lishengdi/workspace/project/maxingyong/matrix/methy/filtered_barcode_reads_counts/XDM_25_35/XDM_25_35_filtered_barcode_reads_counts.csv	/home/lishengdi/workspace/project/maxingyong/matrix/methy/cnv_preflight/XDM_25_35
RS37	RS37	G1	/home/lishengdi/workspace/project/maxingyong/matrix/rna/LXH_25_38/filtered_feature_bc_matrix	/home/lishengdi/workspace/project/maxingyong/matrix/methy/allcools_generate_datasets/LXH_25_38.mcds	/home/lishengdi/workspace/project/maxingyong/matrix/methy/filtered_barcode_reads_counts/LXH_25_38/LXH_25_38_filtered_barcode_reads_counts.csv	/home/lishengdi/workspace/project/maxingyong/matrix/methy/cnv_preflight/LXH_25_38
RS38	RS38	G1	/home/lishengdi/workspace/project/maxingyong/matrix/rna/WRK_25_39/filtered_feature_bc_matrix	/home/lishengdi/workspace/project/maxingyong/matrix/methy/allcools_generate_datasets/WRK_25_39.mcds	/home/lishengdi/workspace/project/maxingyong/matrix/methy/filtered_barcode_reads_counts/WRK_25_39/WRK_25_39_filtered_barcode_reads_counts.csv	/home/lishengdi/workspace/project/maxingyong/matrix/methy/cnv_preflight/WRK_25_39
RS45	RS45	G1	/home/lishengdi/workspace/project/maxingyong/matrix/rna/GPH_25_46/filtered_feature_bc_matrix	/home/lishengdi/workspace/project/maxingyong/matrix/methy/allcools_generate_datasets/GPH_25_46.mcds	/home/lishengdi/workspace/project/maxingyong/matrix/methy/filtered_barcode_reads_counts/GPH_25_46/GPH_25_46_filtered_barcode_reads_counts.csv	/home/lishengdi/workspace/project/maxingyong/matrix/methy/cnv_preflight/GPH_25_46
RS49	RS49	G1	/home/lishengdi/workspace/project/maxingyong/matrix/rna/LYX_25_50/filtered_feature_bc_matrix	/home/lishengdi/workspace/project/maxingyong/matrix/methy/allcools_generate_datasets/LYX_25_50.mcds	/home/lishengdi/workspace/project/maxingyong/matrix/methy/filtered_barcode_reads_counts/LYX_25_50/LYX_25_50_filtered_barcode_reads_counts.csv	/home/lishengdi/workspace/project/maxingyong/matrix/methy/cnv_preflight/LYX_25_50
RS5	RS5	G1	/home/lishengdi/workspace/project/maxingyong/matrix/rna/HRX_25_6/filtered_feature_bc_matrix	/home/lishengdi/workspace/project/maxingyong/matrix/methy/allcools_generate_datasets/HRX_25_6.mcds	/home/lishengdi/workspace/project/maxingyong/matrix/methy/filtered_barcode_reads_counts/HRX_25_6/HRX_25_6_filtered_barcode_reads_counts.csv	/home/lishengdi/workspace/project/maxingyong/matrix/methy/cnv_preflight/HRX_25_6
RS58	RS58	G1	/home/lishengdi/workspace/project/maxingyong/matrix/rna/HCY_25_59/filtered_feature_bc_matrix	/home/lishengdi/workspace/project/maxingyong/matrix/methy/allcools_generate_datasets/HCY_25_59.mcds	/home/lishengdi/workspace/project/maxingyong/matrix/methy/filtered_barcode_reads_counts/HCY_25_59/HCY_25_59_filtered_barcode_reads_counts.csv	/home/lishengdi/workspace/project/maxingyong/matrix/methy/cnv_preflight/HCY_25_59
RS61	RS61	G1	/home/lishengdi/workspace/project/maxingyong/matrix/rna/YJX_25_62/filtered_feature_bc_matrix	/home/lishengdi/workspace/project/maxingyong/matrix/methy/allcools_generate_datasets/YJX_25_62.mcds	/home/lishengdi/workspace/project/maxingyong/matrix/methy/filtered_barcode_reads_counts/YJX_25_62/YJX_25_62_filtered_barcode_reads_counts.csv	/home/lishengdi/workspace/project/maxingyong/matrix/methy/cnv_preflight/YJX_25_62
RS64	RS64	G1	/home/lishengdi/workspace/project/maxingyong/matrix/rna/DY_25_65/filtered_feature_bc_matrix	/home/lishengdi/workspace/project/maxingyong/matrix/methy/allcools_generate_datasets/DY_25_65.mcds	/home/lishengdi/workspace/project/maxingyong/matrix/methy/filtered_barcode_reads_counts/DY_25_65/DY_25_65_filtered_barcode_reads_counts.csv	/home/lishengdi/workspace/project/maxingyong/matrix/methy/cnv_preflight/DY_25_65
